feature,importance
NDVI,0.12872995847635882
Precipitation,0.1099890818255321
Drainage_Density,0.09863188948449511
TWI,0.08019671816617811
SPI,0.07627584170905886
Slope,0.07139949308113067
Aspect_cos,0.06554341173812535
Aspect_sin,0.0649223903632577
Curvature,0.06317560315718294
Elevation,0.05421103114330893
Distance_to_Road,0.04998146661433112
LULC=5,0.049923047695420115
LULC=2,0.03350505582106841
Distance_to_River,0.03312818432148766
LULC=7,0.011057363630006629
LULC=1,0.0041700201748064245
LULC=11,0.001110372271889718
LULC=4,0.0010327995559235885
Precipitation_missing,0.0008788313093462407
TWI_missing,0.000650368779142689
SPI_missing,0.0005266419972993365
Drainage_Density_missing,0.00036403232666763595
Distance_to_River_missing,0.00030577486871529423
Distance_to_Road_missing,0.00029012946100624514
LULC_missing,4.920282603371611e-07
Curvature_missing,0.0
Aspect_missing,0.0
NDVI_missing,0.0
LULC=8,0.0
Elevation_missing,0.0
Slope_missing,0.0
