feature,mean_abs_shap
LULC=5,0.19480114
NDVI,0.10514435
LULC=2,0.068559736
Drainage_Density,0.05402074
Precipitation,0.038465753
LULC=7,0.02726328
Elevation,0.01645595
Distance_to_Road,0.014644582
TWI,0.011415802
Aspect_sin,0.005808514
SPI,0.0052747144
LULC=1,0.0035104544
Curvature,0.0033251387
Aspect_cos,0.003302207
Slope,0.0031603833
Distance_to_River,0.001943061
LULC=4,0.0013314905
LULC=11,0.0012850058
TWI_missing,0.00016942018
NDVI_missing,0.0
Elevation_missing,0.0
LULC_missing,0.0
LULC=8,0.0
Drainage_Density_missing,0.0
Aspect_missing,0.0
Curvature_missing,0.0
Slope_missing,0.0
Precipitation_missing,0.0
Distance_to_Road_missing,0.0
Distance_to_River_missing,0.0
SPI_missing,0.0
