feature,count,mean,std,min,25%,50%,75%,max
POINT_X,14988.0,308340.23692923674,24891.086553666046,258603.0099,286496.60365,306745.07785,332295.006225,353806.5372
POINT_Y,14988.0,2529167.4603272616,25394.782966902854,2436798.937,2518030.412,2535152.075,2546201.0085,2575469.264
LULC,14981.0,4.150323743408317,2.161896495502499,1.0,2.0,5.0,5.0,11.0
NDVI,14979.0,0.5242155372164363,0.23455302184526866,-0.415387243,0.46258096400000004,0.578995585,0.6745606955,0.871022105
Elevation,14988.0,8.248131838804376,3.646121430697032,-8.0,6.0,8.0,11.0,46.0
Slope,14988.0,2.3349929690001336,1.5278583964917134,0.0,1.3674956265,2.109865427,3.15146124375,35.85963821
Curvature,14988.0,-0.0651854817187083,6.4032196571728655,-261.0,-4.0,0.0,4.0,34.0
Aspect,14988.0,153.3051035306838,108.92334679471631,0.0,47.3859386425,151.502388,252.91396715,354.3579712
TWI,14677.0,4.869280731400626,2.7229346200299007,1.017747423,3.252371468,3.994493757,5.331108353,21.36632952
Drainage_Density,14825.0,0.0007405180723102868,0.0002559753792382314,0.0,0.000599663,0.000759082,0.000914857,0.001602716
Precipitation,14709.0,3149.8876335635327,267.8205041900499,2521.263184,3005.794922,3203.164551,3353.725586,3656.2771
Distance_to_Road,14834.0,582.919260222199,875.2078317290825,0.0,0.0,391.0161438,782.0322876,10022.53027
Distance_to_River,14834.0,421.3815224278482,419.5717695719592,0.0,0.0,391.0161438,552.9803467,9712.639648
SPI,14677.0,-2.6829087046207674,2.839646072225243,-11.51292546,-3.349101536,-2.782762253,-1.683200916,7.638184368
